phase,step,elapsed_seconds,combined_training_elapsed_seconds,train_nll,train_ppl,validation_nll,validation_ppl,learning_rate,tokens_per_second
initial,6200,1388.316677995026,1388.316677995026,4.919058799743652,136.87372695520912,4.56232276558876,95.80575589553152,0.000457571040758388,146336.64150271617
initial,6300,1410.1527668461204,1410.1527668461204,5.203546524047852,181.9162695950281,4.5350799560546875,93.23096938690723,0.0004561172675349095,146394.35162880272
initial,6400,1432.6753657013178,1432.6753657013178,4.387096405029297,80.40661147091093,4.529771476984024,92.73736603784562,0.00045464153616405005,146380.12561718127
initial,6500,1455.3550474867225,1455.3550474867225,4.306386828422546,74.17200800741743,4.506501242518425,90.60426097013071,0.00045314401400860384,146350.54199854497
initial,6600,1477.7861724570394,1477.7861724570394,4.985642433166504,146.29753122887436,4.543876767158508,94.0547225018094,0.0004516248709026598,146346.47693341246
initial,6700,1499.6615515202284,1499.6615515202284,3.9117212295532227,49.984913482741796,4.492700412869453,89.36243581777403,0.0004500842791323401,146396.76517507798
initial,6800,1522.1772829517722,1522.1772829517722,4.756274223327637,116.31176594542485,4.471280008554459,87.46861196031549,0.0004485224134162612,146384.00040231043
initial,6900,1544.38148535043,1544.38148535043,4.221206426620483,68.1156112260509,4.501211419701576,90.12624590530547,0.00044693945088571964,146401.1334924134
initial,7000,1565.8938272371888,1565.8938272371888,4.089957237243652,59.73733711633302,4.464675113558769,86.89279466260983,0.0004453355710646027,146482.47282812488
initial,7100,1590.382288865745,1590.382288865745,4.323638916015625,75.46273181308764,4.457435622811317,86.26600663021635,0.0004437109558490293,146287.3433820287
initial,7200,1612.5917690843344,1612.5917690843344,4.013368844985962,55.33296510768845,4.446701154112816,85.34493931089504,0.00044206578948672063,146304.60388246065
initial,7300,1635.0454011932015,1635.0454011932015,4.177400588989258,65.19616114071063,4.472845613956451,87.60566054571464,0.0004404002585561049,146299.54607097464
initial,7400,1657.133351355791,1657.133351355791,4.427521228790283,83.7236277677064,4.427175730466843,83.69470639111155,0.0004387145519451573,146326.90833336452
initial,7500,1679.6900227889419,1679.6900227889419,3.831047773361206,46.11082662795443,4.473642274737358,87.67548034731296,0.0004370088608299785,146312.7104797243
initial,7600,1701.9484844654799,1701.9484844654799,4.867809534072876,130.03576578931398,4.468714401125908,87.24448946780846,0.00043528337865311295,146324.52290599936
initial,7700,1724.0251059904695,1724.0251059904695,4.718029499053955,111.94744264443918,4.410929247736931,82.34594774788296,0.0004335383011016108,146351.46502408
initial,7800,1746.4000165537,1746.4000165537,4.582442760467529,97.75288968931251,4.45254410803318,85.84506554302632,0.000431773826084835,146352.7242197211
initial,7900,1768.27620254457,1768.27620254457,4.775730133056641,118.59687451525556,4.462059274315834,86.66579410832186,0.0004299901537120163,146395.22922238454
initial,8000,1790.1676654443145,1790.1676654443145,3.7043144702911377,40.62219005135891,4.449920281767845,85.62011824567213,0.0004281874862695589,146435.44571839678
initial,8100,1813.6081369295716,1813.6081369295716,4.362810134887695,78.4773568091206,4.4118362963199615,82.4206734078847,0.00042636602819809915,146349.58599676107
initial,8200,1835.0629919171333,1835.0629919171333,4.111898422241211,61.06253006951557,4.445057719945908,85.20479571159103,0.0004245259860693198,146424.18335693495
initial,8300,1857.1767736896873,1857.1767736896873,4.109330177307129,60.905907744337426,4.418968021869659,83.01057604181808,0.00042266756856252296,146445.0793554043
initial,8400,1879.0487804412842,1879.0487804412842,4.312860012054443,74.65369437578207,4.3923463225364685,80.82984955859354,0.00042079098644096357,146484.32912708033
initial,8500,1901.6791147887707,1901.6791147887707,4.221604824066162,68.14275371796492,4.369594380259514,79.01157654372888,0.00041889645252794674,146464.24721919373
initial,8600,1923.793997630477,1923.793997630477,4.072040557861328,58.676573457186755,4.3666024804115295,78.77553510213167,0.0004169841816826912,146483.87527307856
initial,8700,1945.938409857452,1945.938409857452,4.252086400985718,70.25183304113781,4.342953026294708,76.93439350727276,0.0004150543907759629,146500.83402222552
initial,8800,1968.4106230735779,1968.4106230735779,3.5982329845428467,36.53362190020489,4.329559579491615,75.91084651227158,0.00041310729866547865,146493.01147833795
initial,8900,1991.0737547129393,1991.0737547129393,4.096256732940674,60.114840004970084,4.321003973484039,75.26415358748268,0.0004111431261710861,146471.31946252094
initial,9000,2017.075736656785,2017.075736656785,3.87298321723938,48.08562217944344,4.348406687378883,77.35511380536705,0.0004091620960497206,146207.6979265061
initial,9100,2040.4170679599047,2040.4170679599047,4.097908854484558,60.21423911434527,4.37140229344368,79.15455181916327,0.00040716443297014184,146141.10256298815
initial,9200,2062.4333059489727,2062.4333059489727,4.034067511558533,56.49021919413,4.374305814504623,79.38471270423203,0.0004051503634874545,146169.86601721347
initial,9300,2084.2279836833477,2084.2279836833477,3.635702610015869,37.92849247612927,4.333852455019951,76.23742280174655,0.0004031201160174146,146213.56319256622
initial,9400,2106.106836669147,2106.106836669147,4.555232524871826,95.12887249295551,4.323111310601234,75.42292776853641,0.00040107392081052483,146250.51048556442
initial,9500,2128.2634640708566,2128.2634640708566,4.620664119720459,101.56145870497272,4.294291779398918,73.28029744654509,0.0003990120099259217,146267.60514159538
initial,9600,2151.0869766920805,2151.0869766920805,3.740450382232666,42.11695462210486,4.341698721051216,76.83795478853077,0.00039693461720505767,146238.99610221563
initial,9700,2173.578150756657,2173.578150756657,4.010457277297974,55.17209374198072,4.320209100842476,75.20435194140043,0.00039484197824518163,146233.34334187684
initial,9800,2195.5478529781103,2195.5478529781103,4.021380305290222,55.77804344432441,4.322812408208847,75.40038704389161,0.0003927343303726192,146262.53741835506
initial,9900,2217.841828547418,2217.841828547418,4.642078876495361,103.75982739405262,4.312989354133606,74.6633508643115,0.00039061191261585796,146269.763616312
initial,10000,2240.1244926527143,2240.1244926527143,3.8880594968795776,48.816066824525095,4.307756170630455,74.2736444402745,0.00038847496567843883,146277.58460511602
initial,10100,2263.7724163904786,2263.7724163904786,4.6033616065979,99.8193055103995,4.266878962516785,71.29876189313273,0.0003863237319116584,146197.02828948738
initial,10200,2286.395232990384,2286.395232990384,3.799020767211914,44.65743305269738,4.295711025595665,73.38437406769717,0.0003841584552870832,146183.64978081884
initial,10300,2308.5892916694283,2308.5892916694283,3.4560189247131348,31.69056253450934,4.282109886407852,72.3930200364565,0.0003819793813688816,146197.68064328734
initial,10400,2330.557350486517,2330.557350486517,4.147012948989868,63.24480241599465,4.295394837856293,73.36117449625876,0.0003797867572859735,146225.62278025845
initial,10500,2352.626210704446,2352.626210704446,3.523237705230713,33.89398975247376,4.267730966210365,71.35953458721703,0.0003775808317040044,146246.77665942398
initial,10600,2374.76828610152,2374.76828610152,4.2779552936553955,72.09288043071666,4.214805826544762,67.6810227369104,0.0003753618547971434,146263.02786374307
initial,10700,2397.1142347157,2397.1142347157,3.693245053291321,40.17500569150204,4.272125706076622,71.673831298996,0.00037313007821971114,146266.53787385463
initial,10800,2418.8008444458246,2418.8008444458246,4.554034233093262,95.01494861779656,4.264093309640884,71.10042466960134,0.0003708857550776401,146309.85465902684
initial,10900,2440.7853677868843,2440.7853677868843,4.448464870452881,85.49559639402514,4.247972339391708,69.96340638224825,0.00036862913989976916,146334.53834732517
initial,11000,2462.631746314466,2462.631746314466,4.8219780921936035,124.21054784649219,4.26663713157177,71.28152173085212,0.0003663604886089782,146366.99154854985
